username,tweet
juanki_s,"RT @dmavicente: Soy médico,oncólogo médico, trabajo en un hospital. No tengo nada que recomendar sobre el #coronavirus más allá de lo que d…"
Lucky61mass,RT @LaNotiziaTweet: Un agente della scorta di #Salvini contagiato dal #Coronavirus. E’ in isolamento insieme ad altri colleghi. Nessuna mis…
joialexandrine,QT RT @AlexSeale: A second person dies from #coronavirus in the UK.
curvykitten7,Can all the supermarkets stop letting idiots buy 20 packets of toilet paper.  #Shitheads #coronavirus 😱🤬
bexl888,"RT @AynRandPaulRyan: Trump says he's not going to visit the CDC in Atlanta because someone there was infected with #coronavirus.

Wait, did…"
angelclaverjim1,"RT @carmenrogo10: En mi facultad (FACULTAD DE COMUNICACIÓN) hay una chavala posiblemente contagiada por #coronavirus
Antena 3 ha ido a entr…"
RosaDersim3,"RT @guladersimm: İran’da #Coronavirus yüzünden ölenlerin cesetlerini bu şekilde toprağa veriyorlar.

Çok üzücü 🙏
 https://t.co/gjZC08FQDQ"
samirabisambra,"#Atención | Ante la confirmación del primer caso de Coronavirus en Colombia lo primordial es mantener la calma, lav… https://t.co/9nO28Zi7Ef"
yesthatCarlo,"QT RT @People4Bernie: According to John Delaney pragmatism is a for-profit health insurance system that profits off #CoronaVirus 

To us, the…"
Marketupdater,RT @Reuters: Washington state announces new #coronavirus death. Live updates: https://t.co/LRVB4iB1Qy https://t.co/2Yhb1H4LCi
TonySantanaZA,RT @DrZweliMkhize: Dept. Of health today in KZN will be addressed. They must not panic or fear as the risk for health staff is a little #Co…
MatildaBawden,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
DanitaBlackwood,"RT @messageplicity: ""I believe in the power of human beings and the efforts from around the world. But that doesn't mean will just wait and…"
ArroyoTell,"RT @larazon_es: #Covid_19 | #Coronavirus: La UE renuncia a imponer un protocolo común a los Veintisiete ➡ La Comisión, preocupada por la fa…"
Fandebarreiros2,"RT @AgustinRosety: Los datos que el gobierno está dando sobre #coronavirus no son fiables 

Descordinación, falta de recursos y opacidad en…"
manitoba2410,RT @SJallamion: 🇫🇷 Le climat anxiogène que véhiculent les médias face au #coronavirus est une aubaine pour l'Exécutif qui voit là une oppor…
BeigelRoy,"RT @HeartOTXHeartMD: Down home #Texas wisdom for #COVID19 prevention!😂

PS- it’s a good habit to do this even when we aren’t in a #coronavi…"
lettienets,"RT @cruisewaves: #BreakingNews  Princess changes cancellation policy due to ongoing coronavirus situation. 

#coronavirus #COVIDー19 #prince…"
davidprada,En el hipotético caso en que tuvieran que enfrentarse a muerte con sus vecinos o conciudadanos para obtener recurso… https://t.co/FD2vIKGZNW
randybrewer1955,"RT @HeshmatAlavi: #Iran's brave medical staff sacrificing their all in the battle against #coronavirus

-Dr. Hamid Lotfi, orthopedic physic…"
ohmyIeigh,RT @DrDenaGrayson: ⚠️Chinese doctors say autopsies of #coronavirus victims suggest that #COVID19 is “like a combination of #SARS and #AIDS…
CUOnlineEditor,Three strategies to help insurance pros deal with #coronavirus anxiety https://t.co/pbHQLNuB5O
Elijahvoiced,"@nmsonline I am prepped in LA, my family had invested thousands in emergency supplies.  We are now looking to build… https://t.co/r4qQQZ1cqZ"
KeishaJake,QT RT @keene0828: Hell is getting crowded with all of these senior Iranian officials dying off.  Their country and the world will be better of…
VeroFFS,"RT @JorRausch: 🔴 #URGENTE

—— La novia del joven aislado ayer, también dio ➕al #coronavirus🦠

📍De esta manera OFICIALMENTE, #Arg🇦🇷 posee el…"
SoulFlyTry,"RT @SoulFlyTry: @PhilEhr RT PLZ , FOLLOW +
Donate if Able!!!
Commander
@PhilEhr
(USN retired) 

Let's HELP
#PhilEhr
UNSEAT
#MattGaetz
aka
#…"
jamesriceshow,First #U.S. Colleges Close Classrooms as Virus Spreads. More Could Follow.The #University of Washington said it wou… https://t.co/UZ7y2j80OV
Maku1316,RT @Reuters: New coronavirus infections may drop to zero by end-March in Wuhan: Chinese government expert https://t.co/HvdkGm62f1 Follow th…
Ecmw3,RT @SBergsma: Vriend van een clubgenoot (van mijn man) ligt nu in een Nederlands ziekenhuis in kunstmatige coma vanwege #coronavirus #COVID…
lasarte_diego,Bowdoin officially cancels all spring break trips to US states and countries with declared emergencies; read me and… https://t.co/5oEYO0pI00
manars,"RT @serdarkaragoz: Just “eyvallah”
#coronavirus https://t.co/C2tMUNJV4e"
aka12144,"RT @girlsreallyrule: BREAKING: Trump could still own stock in a company that, according to the CDC, will play a major role in providing cor…"
theorion_angie,"RT @3rdERH: #UPDATE on #coronavirus locally: 
San Mateo County opening public call center for residents with non-medical questions about CO…"
AnalysisBrexit,"RT @DarranMarshall: 🚨

The Dept of Health has confirmed a 4th case of #coronavirus in Northern Ireland.

The individual is an adult who had…"
SoMirina_,"RT @Conflits_FR: 🇫🇷 #COVIDー19 - En France, à 15h, les régions les plus touchées sont :

- Grand Est: 136 cas (+59)
- Hauts-de-France: 97 ca…"
honeyangel1962,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
MayoClinic,"As reported cases of #COVID19 continue to climb worldwide, the information about this new #coronavirus is rapidly e… https://t.co/mwbdqFkObj"
cryptocrock,"RT @kr3at: BREAKING: Colombia reports first case of #CoronaVirus  (BNO News)

#Covid19 #CoronaVirusOutbreak"
MayzeTweets,RT @DrDenaGrayson: ⚠️Chinese doctors say autopsies of #coronavirus victims suggest that #COVID19 is “like a combination of #SARS and #AIDS…
_andres199637,"RT @LaPazColombiani: Hasta que llegó el #COVIDー19 a Colombia. 😣
06/03/2020 ☣😷
#Coronavirus #Covid_19 https://t.co/LbUm42S6oN"
DurandEmmanue12,"RT @Wawei16: @JFaerber EXERÇONS TOUS NOTRE DROIT DE RETRAIT DÈS LUNDI.
#COVID2019 #COVID19 #COVID_19 #coronavirus #CoronavirusFrance #coron…"
karenmel,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
grnbee,RT @DrDenaGrayson: ⚠️Experts (including me) advise people ≥ 60yo or with serious health issues: strongly consider AVOIDING activities with…
lau56,Harvard epidemiologist calls out Trump White House’s Orwellian #coronavirus spin: ‘It is the opposite of contained’ https://t.co/0lllm2etae
APRA_Lince,"RT @yturbe_: Qué manía de algunas empresas para llamas “colaborador” a sus trabajadores, cuando quieren lavarse las manos, no? #LATAM #COVI…"
benpsg57,RT @_7h27: 🚨 OFFICIEL ! Le match Strasbourg #PSG est reporté à cause du #coronavirus. https://t.co/rcXI7nBF0a
tugces00,"QT RT @traderAT12: #coronavirus #corona 
Ben bunu hep söylüyorum ama yine yazayım. ""Antibakteritel"" denilen el jelleri genelde bakteri odaklıd…"
zewiwi,"RT @clem_garin: Info : Les Globes de Cristal, censés être retransmis en direct le samedi 14/03 sur @C8TV, sont annulés. #Coronavirus https:…"
laquilaabruzzo,"RT @Marcell77640487: Ma cosa chiamate l'unità nazionale?
È da DUE MESI che andate in giro a spiegare che trattasi di normale influenza e do…"
Montrealgroup,"RT @Jerusalem_Post: Washington state announces new #coronavirus death, 15th in #US

https://t.co/iHZBFHw7fw"
MaurizioRiveros,Entre el #coronavirus y la #gonorreadeuribe nos van a acabar ...
ParadiseFrances,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
fariahmad13,RT @pressahmadiyya: The Head of #Ahmadiyya Muslim Community Calls on #Muslims to Adopt Precautionary Measures to Curb the Spread of #Corona…
POPIMME,QT RT @adia66: C'est  dans les moments de crise qu'on voit réellement ce que vaut un Peésident et E. Macron est impeccable depuis le début. Je…
Frankieliuode,"RT @WinnieDynasty: Another angle of the Guangzhou Protest.

Group incidents occurred in Guangzhou Shisanhang clothing wholesale market, and…"
mitchy_256,"RT @Jpicone7: If you ever played in a McDonalds play place, you’re immune to Coronavirus"
acaringmind,"RT @SolentNHSTrust: The new 111 online #coronavirus service can quickly tell you what to do if you think you have symptoms, or you think yo…"
LFellipe_fn,RT @elonmusk: The coronavirus panic is dumb
McKenzieHall32,"QT ""I'll try to give some facts."" LOL OKAY KELLYANNE."
salfordsmith61,QT Beyond parody
wearemusic_1,RT @elonmusk: The coronavirus panic is dumb
Artyphex,I can’t wait for the coronavirus vaccine to be distributed and for antivaxxers to lose their goddamn minds
moodflyer,RT @Victori93908916: @ScottGottliebMD NYC mayor de Blasio said it's safe to ride the subways w/o masks or PPE's. Is this claim scientific g…
alyzcias,"RT @BBC_Hyung: WOW. A man in Incheon, west of Seoul - who contracted #coronavirus - has documented his symptoms and activities for past 25…"
BleepinComputer,"US Govt Shares Tips to Defend Against Coronavirus Cyber Scams - by @serghei
https://t.co/fqdc49cAeH"
BottomsUpBeer,"But it can kill a hangover! 
https://t.co/N8Y43IHHEj"
Iavashipping,"was either gonna see onward or sonic today and my dad preferred onward over sonic, but that’s fine bc i wanted to see both movies either way"
EBULLIENT_____,"RT @NorbertElekes: BREAKING: Italy reports 778 new cases of coronavirus and 49 new deaths.

A total of 4,636 cases and 197 deaths."
thesamJar,RT @icedoutomnitrix: this whole coronavirus thing has officially scared me enough to get me to start wiping my ass 😭😭😭 not gonna risk it
liskaaz,"QT RT @Mikel_Jollett: The Trump administration is using the ""essential health benefit"" provision of the ACA to fund coronavirus testing, at th…"
TwunkyToo,RT @faIse9i: People referring to Coronavirus as COVD-19 https://t.co/PeYpNwbB9M
EGYFuckBird,RT @elonmusk: The coronavirus panic is dumb
librarygary,QT RT @liz_franczak: someone call the SEC
FanAuteur,"RT @petertimmins3: Outrage at ‘astounding’ cost of Brexit. £4,000,000,000 squandered so a few xenophobes no longer have to hear Polish spok…"
DonPayne17,RT @DWPippy: Trump may be keeping the testing down on the coronavirus to lower the afflicted number so it doesn't look like it's spreading…
Calfatty,RT @elonmusk: The coronavirus panic is dumb
NorrispPattie,QT He said Coronavirus panic.....read it again...
Ixmarar1,RT @elonmusk: The coronavirus panic is dumb
traveltoperu,"Concerned about the Coronavirus in Peru? Check out our new article with the latest updates: 

https://t.co/nBybkqzmiE"
LlnuxBot,RT @gp_pulipaka: An Essential Concept to Create Accurate Machine Learning Models. #BigData #Analytics #DataScience #AI #MachineLearning #Io…
usccrcc,"QT RT @kjwinston11: Any changes to soup kitchens, community meals, Passover seder plans etc? https://t.co/O3pr3lJKOW"
Vivi90054191,"RT @stengel: If you can't measure something, you can't deal with it. The other danger is that when you do start widespread testing, it will…"
