username,tweet
IAMBLAISE1,QT RT @MyFavsTrash: This is the most Florida tweet I’ve ever seen.
SunnyShines_,"After getting 

- Netflix
- Amazon Prime
- Zee5

All the good movies are releasing on #HotStar 😢😭 Wtf https://t.co/3mOaGWK5Oj"
lsforsbBacMan,"QT some of the media seem to be promoting a ""panic"" type of atmosphere. People should read up on statistics of regular… https://t.co/Q7y1VlRzUJ"
LegalAidAtWork,"RT @greenhousenyt: Let no one forget that Trump said this last week &gt;&gt; ""We have a total of 15 [coronavirus cases]...The 15 within a couple…"
sholeh_shole,"RT @NCRIUS: NCRI-US Dep Dir, @A_Jafarzadeh, quoted: “The [#Iran] regime is a global threat in handling the coronavirus...That shows how the…"
jk_1939,"RT @greenhousenyt: Let no one forget that Trump said this last week &gt;&gt; ""We have a total of 15 [coronavirus cases]...The 15 within a couple…"
icasDC,"ICAS Senior Fellow @ICASgupta quoted by @RT_com on #COVID19 and its impact on the global economy.

Read the article… https://t.co/1DT6j6cTE5"
eckyimp,"RT @KamVTV: 14 people in the U.S. have died from the Coronavirus. 

22 Veterans die each day from suicide. Can we throw 8 Billion at that t…"
mannylaraa,QT thank you dad ✊🏼📈
Sufiy,RT @markets: The coronavirus outbreak is rapidly becoming a crisis of historic proportions for the global air travel industry https://t.co/…
WhisperKats,QT More likely US style democracy will fail.
datponpon,RT @elonmusk: The coronavirus panic is dumb
Raukar7,"QT RT @GOPChairwoman: Great news!
https://t.co/npbGIDnfJ5"
hypervisible,QT RT @elizabeth_joh: what you want to erect a surveillance state have you tried free widespread testing https://t.co/V6o5PBTIwq
faveleetz,RT @elonmusk: The coronavirus panic is dumb
ayy_scialdone,RT @elonmusk: The coronavirus panic is dumb
Fatcalvin_,RT @elonmusk: The coronavirus panic is dumb
ChrisSmolinski,"@islivingston Just announcing the first coronavirus cases on a per state basis does not cause enough panic, now we… https://t.co/9TRBcVeBVD"
qashnini,RT @moesuttle: Coronavirus looking at all South Africans making jokes about it: https://t.co/WGAv9G6B0q
ale_palestino,RT @piercespears: the first coronavirus transmission  https://t.co/yXvvVBdTiU
harrrrystylin,RT @whatchidid: Anti-Asian discrimination due to coronavirus-related fear is so horrid and it’s happening globally. Part of fighting this p…
10kdinoWard,RT @elonmusk: The coronavirus panic is dumb
DangrusDana,RT @TeaPainUSA: Denyin’ tests to coronavirus victims to help your approval numbers should be considered attempted murder. https://t.co/eTzE…
lariashraf,"RT @LicypriyaK: In India, some media virus 🦠 are more dangerous than #coronovirusindia. 

#coronavirus https://t.co/hRhRpM6Vi7"
nicolasdr8,QT These numbers from the President about US cases are complete and utter crap. I just came back through the US from a… https://t.co/GUGIy5J8Py
DeanRoberts46,RT @elonmusk: The coronavirus panic is dumb
thrashnwhiplash,RT @elonmusk: The coronavirus panic is dumb
Chelleld16,"RT @gabrielmalor: Here's a really interesting article about the CDC's first botched COVID-19 tests, which ultimately led them to suspend th…"
rcollingridge_,@MichaelLacey96 Say ‘anywhere here is fine mate’ to taxi drivers or you’ll get coronavirus virus
satsuma3333,"QT RT @benshapiro: 1. Trump's administration is radically mishandling coronavirus.
2. The government should have complete control over healthc…"
ThatOne73358062,RT @elonmusk: The coronavirus panic is dumb
flwr0108,"RT @MaddowBlog: ""Then there's the third problem: an incompetent administration. An incompetent administration is like its own natural disas…"
TheEpicFeathers,RT @NinEverything: Nintendo of America letting its employees work from home due to coronavirus https://t.co/gzUUiAgKL8 https://t.co/MvCdJuZ…
flourishOS,RT @96fj_: Ngl coronavirus is overdoing it now
DivockIsKing27,RT @elonmusk: The coronavirus panic is dumb
KamiloTapiya,RT @WhiteHouse: Moments ago: President @realDonaldTrump signed the Coronavirus Preparedness and Response Supplemental Appropriations Act. h…
BIGPAT69420,RT @elonmusk: The coronavirus panic is dumb
diasporicshawty,"RT @motherjuniper: Idk why this isn’t a stat you see more often with the Coronavirus news but of the 90,000 diagnosed with it since it bega…"
KimmerSync,"RT @dcpoll: @GOPLeader “The US response to COVID-19 has been shockingly sluggish. In South Korea, 66,650 people were tested within a week o…"
Gera_FdezV,RT @elonmusk: The coronavirus panic is dumb
onlybipe,RT @elonmusk: The coronavirus panic is dumb
maryaverykemp,"QT RT @jkempcpa: Important guidance for you or maybe your parents or grandparents.  Even if you don’t think they will listen to you, you shoul…"
Hexa_tru,QT Agreed
MouktarAlbert,QT The limits of the downside risk is unknown and therefore overreaction is not unwarranted.
grant_darnell69,Coronavirus isn’t even that dope
closeureyesnsee,QT I KNO RITE
DavidOSmith5,"RT @firstdraftnews: Disinformation about #coronavirus cures and symptoms have been rife on Twitter, so here's a step-by-step guide on how t…"
juanpodesta_,RT @elonmusk: The coronavirus panic is dumb
BigDaddyKane66,"RT @billprady: Keep in mind that every golf trip the president takes to Mar-a-Lago costs taxpayers* the equivalent of 340,000 Coronavirus t…"
ayushhhsharmaa,"RT @EconomicTimes: The coronavirus could wipe more than $200 billion off Asia Pacific economies this year, S&amp;P Global ratings warned Friday…"
coso182,RT @DooM49: #coronavirus Just in case you were wondering https://t.co/W20QkG5aX9
aurora_phlox,RT @RRalstonAgile: Scientists were close to a coronavirus vaccine years ago. Then the money dried up. - NBC News https://t.co/eUoW232rZI
ButlerRunner,"RT @B52Malmet: Last night, my kid, a charge nurse in a prominent hospital in California, sent me a photo as she was about to enter a negati…"
MoAKNews,"1234 new cases of #coronavirus in #Iran raising the country's total to 4747.
https://t.co/NPgJsgkm0o

#MoAKNews"
Spookella,"RT @jimsciutto: “We closed it down...we stopped it”, says Trump of Coronavirus."
nicobasualdo,RT @elonmusk: The coronavirus panic is dumb
Britcuntry,RT @elonmusk: The coronavirus panic is dumb
BryanTweed16,"Business meeting I was planning to go to in Miami got cancelled. No Miami golf or beach for Tweeder.  

Damn you Co… https://t.co/Z63bUkmlAw"
Vigilant1000,"Sadly, no part of this is true:

NHS confident it can swiftly eradicate Coronavirus thanks to the extra £350m per w… https://t.co/EdsVxwYbx4"
wyler_teeks33,QT RT @soIoucity: i bet theres atleast 8 people from florida that actually fell for this.
tonny_langat,RT @NationBreaking: CORONAVIRUS: KENYA bans all international meetings and events on its soil; temporarily lifts ban on Italian flights to…
donnaet5,"RT @CandysOpinions: You know what Nancy Pelosi, the Speaker, did? She withheld the Corona Virus bill for funding last week. You know why? S…"
lora_loramonroe,"QT RT @dcpoll: No, @KellyannePolls, NO ONE thinks it's being contained –– because it's not.

Only Trump's brainwashed, idiotic rally-goers act…"
NewsDra,"Coronavirus scare: Salman Khan prefers salaam, namaste over handshake or hug https://t.co/Ei6vIrTWyv https://t.co/cSTaXS2bhw"
Ritmoyclase2,"RT @PalmerReport: The GOP Governor of Missouri just tweeted that “Nearly 17 people have been tested” have been tested for coronavirus.

So…"
tatortaoz,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
Sunpoches,RT @UxbEconomist07: Someone’s finally ‘gone there’ &amp; it’s Ed Conway in @thetimes stating that young environmentalists should be ‘noting tha…
andrewotey,RT @AdamTuss: And if you missed it - here’s our recent report on how Metro is preparing for a possible #coronavirus outbreak #wmata @nbcwas…
MlangeniDennis,"RT @fionaobeng: Togo has recorded its first case of Coronavirus Togo through a 42-year-old woman, who embarked on trips to Germany, France,…"
Queen15876029,"RT @marknorm: Coronavirus, a dangerous infection or an introverts dream?"
HollyGoDarkly,"QT RT @elizabeth_joh: Public: can we have some nonpartisan science based data on the coronavirus

Administration: sd;lfkasl;fkjasldkfj

Tito's…"
WarmGingerTea,QT RT @JoeNBC: Kellyanne Conway and Larry Kudlow say Coronavirus is “contained” at 200 cases. This is the kind of talk that causes great uneas…
Celestial_Meme,"RT @ThePhanSite: If you happen to not own a PS2 or a PSP, and you're looking to experience the story of Persona 3, I should recommend the P…"
SantoshPanday,"RT @OpIndia_com: Yogi government to turn Aala Hajrat Haj House in Ghaziabad into a 500 bed isolation centre for Coronavirus patients

https…"
GMichailakis,"RT @TheTweetOfGod: I can now confirm the first reported case of coronavirus in heaven.

It is a 33-year-old Near Eastern male who touches b…"
jsavokinas,RT @ZywickiR: An important message regarding coronavirus preparations. https://t.co/6xqGGB1QmJ 3/7 Makerfest and Robotics competition are c…
ChillyVII,QT RT @Parkour_Lewis: Ain’t targeting the original people because we understand that cleanliness is next to Godliness and it starts with clean…
kunmiao95,"QT RT @JDon_chembio: Primer dimers forming in your CDC #COVID19 test kit? No worries, @StanfordMed’s got your back. Stanford hospitals deploy…"
Snake_Venom130,QT HE SAID IT NOT ME
Juttle100,"RT @mmaher70: Are you sick disabled or elderly 
Do you believe you will get a bed because you get #coronavirus 
My cousin with pneumonia 
S…"
bigscrungo,QT RT @anikauwu: people who play league of legends are safe
DanielBFox1,RT @elonmusk: The coronavirus panic is dumb
kaseeno,@2plus2isjoe This is the reason for all of the recent cancellations https://t.co/9nlXtQG1qv #Coronavirus Viral tiktok challenge
CatherineParr29,"RT @dcpoll: @GOPLeader “The US response to COVID-19 has been shockingly sluggish. In South Korea, 66,650 people were tested within a week o…"
briancirca,RT @elonmusk: The coronavirus panic is dumb
ThatShockratees,RT @GeoffRBennett: Politico: CDC staffers learned about potential coronavirus case only after Trump mentioned it to reporters this morning…
barebesic,@BBCSport Waiting for the Coronavirus rumours
Frenchi1662,"QT RT @NNUBonnie: Nurses know that we can care for #COVIDー19 patients and even help stop the spread of this virus.

But we MUST have the prote…"
